Time,EncoderAngle
1644557717.9864686,
1644557718.0000796,6387.00
1644557718.001081,6390.00
1644557718.001081,6393.00
1644557718.0020785,6396.00
1644557718.0030751,6
1644557718.0040727,6357.00
1644557718.0040727,6360.00
1644557718.0050693,6363.00
1644557718.0050693,6366.00
1644557718.006068,6369.00
1644557718.007065,6372.00
1644557718.007065,6375.00
1644557718.0080624,6378.00
1644557718.0090601,6381.00
1644557718.0090601,6384.00
1644557718.0100563,6387.00
1644557718.0100563,6390.00
1644557718.0110538,6393.00
1644557718.0110538,6396.00
1644557718.012052,6
1644557718.012052,6357.00
1644557718.0130482,6360.00
1644557718.0130482,6363.00
1644557718.0140455,6366.00
1644557718.0140455,6369.00
1644557718.0150425,6372.00
1644557718.0160398,6375.00
1644557718.0160398,6378.00
1644557718.0170376,6381.00
1644557718.0170376,6384.00
1644557718.018035,6387.00
1644557718.018035,6390.00
1644557718.019032,6393.00
1644557718.019032,6396.00
1644557718.4386652,60.00
1644557718.4468687,3.00
1644557718.4511304,6.00
1644557718.4584982,9.00
1644557718.4675329,12.00
1644557718.4708097,15.00
1644557718.4798956,18.00
1644557718.4880698,21.00
1644557718.4963238,24.00
1644557718.499822,27.00
1644557718.507392,30.00
1644557718.5167499,33.00
1644557718.5240433,36.00
1644557718.532061,39.00
1644557718.5370085,42.00
1644557718.5449858,45.00
1644557718.5529935,48.00
1644557718.5609443,51.00
1644557718.5649598,54.00
1644557718.5739133,57.00
1644557718.5820982,60.00
1644557718.5897574,63.00
1644557718.5974755,66.00
1644557718.602765,69.00
1644557718.6108766,72.00
1644557718.619043,75.00
1644557718.627046,78.00
1644557718.6355891,81.00
1644557718.638734,84.00
1644557718.6467083,87.00
1644557718.6549542,90.00
1644557718.6641743,93.00
1644557718.668333,96.00
1644557718.6756916,99.00
1644557718.6846879,102.00
1644557718.6926725,105.00
1644557718.7011771,108.00
1644557718.7085106,111.00
1644557718.7175536,114.00
1644557718.7255023,117.00
1644557718.7338896,120.00
1644557718.7418227,123.00
1644557718.7502232,126.00
1644557718.761563,129.00
1644557718.7702224,132.00
1644557718.7782,135.00
1644557718.7861896,138.00
1644557718.7941577,141.00
1644557718.802169,144.00
1644557718.8111117,147.00
1644557718.8192532,150.00
1644557718.8270733,153.00
1644557718.8361168,156.00
1644557718.8441007,159.00
1644557718.8523886,162.00
1644557718.860384,165.00
1644557718.8689163,168.00
1644557718.8765454,171.00
1644557718.885248,174.00
1644557718.8932307,177.00
1644557718.9015274,180.00
1644557718.9097586,183.00
1644557718.9180915,186.00
1644557718.9260128,189.00
1644557718.9341497,192.00
