Time,EncoderAngle
56061885.6048,-56.0
56061925.1782,-56.0
56061965.7537,-55.0
56062005.2968,-55.0
56062045.1355,-55.0
56062086.3564,-55.0
56062125.4803,-56.0
56062165.3902,-56.0
56062205.6791,-56.0
56062245.4615,-57.0
56062286.0773,-56.0
56062325.5042,-55.0
56062365.6364,-55.0
56062405.4482,-54.0
56062445.6145,-53.0
56062486.0499,-54.0
56062525.9583,-55.0
56062565.9763,-54.0
56062605.3498,-54.0
56062645.57,-53.0
56062686.9146,-53.0
56062725.3489,-52.0
56062765.3658,-52.0
56062806.0153,-53.0
56062846.377,-52.0
56062885.8694,-53.0
56062926.2823,-54.0
56062965.3906,-54.0
56063005.4459,-55.0
56063044.8874,-56.0
56063085.6775,-57.0
56063125.4327,-58.0
56063145.5555,-58.0
56063165.5761,-59.0
56063185.4425,-59.0
56063205.7906,-60.0
56063225.8675,-60.0
56063245.5943,-60.0
56063265.1837,-60.0
56063284.8525,-60.0
56063305.1299,-60.0
56063325.9396,-61.0
56063345.5348,-61.0
56063364.9408,-61.0
56063385.601,-60.0
56063405.3747,-60.0
56063425.7456,-60.0
56063445.4843,-61.0
56063465.5186,-61.0
56063485.1442,-61.0
56063506.9252,-62.0
56063525.6944,-62.0
56063545.9866,-62.0
56063565.4927,-61.0
56063585.5166,-61.0
56063605.0844,-61.0
56063625.763,-62.0
56063645.6994,-62.0
56063665.4742,-63.0
56063685.6328,-63.0
56063705.6601,-62.0
56063725.8199,-62.0
56063745.2363,-62.0
56063765.4839,-63.0
56063786.1297,-63.0
56063806.1276,-64.0
56063825.7806,-64.0
56063845.0573,-64.0
56063869.8536,-63.0
56063886.487,-63.0
56063905.5606,-62.0
56063925.6344,-62.0
56063945.2868,-61.0
56063965.594,-61.0
56063986.1814,-60.0
56064005.5534,-60.0
56064026.0958,-61.0
56064053.4873,-61.0
56064077.0898,-61.0
56064095.3505,-62.0
56064115.7019,-62.0
56064135.9796,-63.0
56064155.516,-63.0
56064176.3617,-63.0
56064195.0488,-63.0
56064215.8816,-62.0
56064236.1646,-62.0
56064255.4372,-62.0
