Time,EncoderAngle
55138847.7035,32.0
55138866.8365,32.0
55138886.7448,31.0
55138906.4542,31.0
55138926.5898,31.0
55138954.5306,32.0
55138977.0718,32.0
55138996.8063,32.0
55139016.5422,32.0
55139036.2396,32.0
55139056.4628,32.0
55139077.0497,31.0
55139097.2182,31.0
55139116.8076,31.0
55139136.1091,31.0
55139156.9531,31.0
55139176.4761,31.0
55139197.1569,30.0
55139216.6925,30.0
55139236.2388,30.0
55139256.3506,30.0
55139276.3291,30.0
55139297.3045,30.0
55139316.5853,30.0
55139350.5959,30.0
55139367.4642,29.0
55139386.1723,29.0
55139406.7261,29.0
55139428.8667,29.0
55139447.2575,28.0
55139466.6671,28.0
55139486.2411,28.0
55139506.7854,28.0
55139526.4546,28.0
55139547.1818,27.0
55139566.4097,27.0
55139586.8137,27.0
55139606.6146,28.0
55139627.1503,28.0
55139646.513,28.0
55139667.4804,27.0
55139686.1466,27.0
55139706.8861,27.0
55139726.8798,26.0
55139746.7026,26.0
55139767.3393,26.0
55139786.6511,25.0
55139806.784,25.0
55139827.2417,24.0
55139846.6463,24.0
55139867.2254,24.0
55139886.7023,23.0
55139906.1576,23.0
55139926.8852,23.0
55139947.1719,24.0
55139967.1548,24.0
55139986.4146,24.0
55140006.6283,23.0
55140026.9704,23.0
55140046.91,22.0
55140067.6299,22.0
55140087.1715,21.0
55140106.7843,21.0
55140126.6746,22.0
55140146.7752,22.0
55140168.3207,22.0
55140187.1333,23.0
55140206.7576,23.0
55140230.4143,23.0
55140246.0113,23.0
55140267.6097,24.0
55140287.0917,24.0
55140306.7084,24.0
55140326.5886,25.0
55140346.0155,25.0
55140367.4314,25.0
55140386.6523,25.0
55140406.5893,26.0
55140426.1577,26.0
55140446.8519,26.0
55140467.2892,27.0
55140486.8307,27.0
55140526.4087,28.0
55140547.0326,28.0
55140566.8724,28.0
55140586.8465,29.0
55140617.3493,29.0
55140636.7607,28.0
55140656.7119,28.0
55140676.758,29.0
55140696.8481,29.0
55140717.1371,30.0
55140736.0166,30.0
55140756.0243,30.0
55140776.7143,30.0
55140796.6981,31.0
55140816.9142,31.0
55140837.1453,31.0
55140856.2676,31.0
55140877.1209,30.0
55140897.1826,30.0
55140916.5556,30.0
55140936.7547,31.0
55140956.4165,31.0
55140976.8917,31.0
55140999.214,31.0
55141016.7408,31.0
55141036.8355,32.0
55141057.3624,32.0
55141077.0196,33.0
55141097.6022,33.0
55141117.6377,33.0
55141136.8979,34.0
55141156.4939,34.0
55141176.6857,34.0
55141196.9447,33.0
55141217.389,33.0
55141237.7633,34.0
55141256.7696,34.0
55141276.6773,35.0
55141299.1116,35.0
55141316.7684,35.0
55141337.0322,36.0
55141356.8852,36.0
55141376.7958,37.0
55141396.8928,37.0
55141417.3713,38.0
55141436.9249,38.0
55141457.182,39.0
55141476.6041,39.0
55141496.1248,39.0
55141517.7651,38.0
55141543.0303,38.0
55141567.9458,38.0
55141586.7589,39.0
55141606.8142,39.0
55141626.5076,40.0
55141646.4956,40.0
55141666.6505,40.0
55141686.7145,41.0
55141706.2463,41.0
55141726.5477,41.0
55141746.0543,41.0
55141766.8724,42.0
55141786.1885,42.0
55141806.6015,42.0
55141826.9478,43.0
55141846.343,43.0
55141869.1415,43.0
55141886.2235,43.0
55141909.704,43.0
55141928.783,44.0
55141946.1942,44.0
55141975.2077,44.0
55141998.5806,44.0
55142017.7396,45.0
55142043.066,45.0
55142069.4108,45.0
55142086.4561,45.0
55142110.2267,45.0
55142137.2546,45.0
55142157.4977,46.0
55142175.893,46.0
55142197.8163,46.0
55142218.4739,46.0
55142237.8995,47.0
55142258.2987,47.0
55142276.1976,47.0
55142297.5715,47.0
55142318.5075,47.0
55142336.2424,47.0
55142356.3666,47.0
55142376.3996,47.0
55142398.6656,47.0
55142416.893,47.0
55142437.4393,47.0
55142456.6727,46.0
55142476.2408,46.0
55142498.8584,46.0
55142527.0624,46.0
55142548.3806,46.0
55142568.9261,47.0
55142586.2637,47.0
55142606.0501,47.0
55142626.8986,47.0
55142647.6985,47.0
55142666.7771,47.0
55142687.5921,47.0
55142706.0878,47.0
55142727.9656,47.0
55142747.8986,47.0
55142766.9514,48.0
55142786.1003,48.0
55142805.8948,48.0
55142826.4687,48.0
55142849.1457,48.0
55142866.1697,48.0
55142885.9231,48.0
55142907.7019,47.0
55142926.9912,47.0
55142948.118,47.0
55142966.9276,48.0
55142985.8703,48.0
55143006.0071,48.0
55143026.0113,48.0
55143049.0323,48.0
55143066.2628,48.0
55143085.9406,48.0
55143106.5297,48.0
55143125.9781,48.0
55143147.4885,48.0
55143166.4696,48.0
55143186.4559,49.0
55143205.955,49.0
55143225.9007,49.0
55143248.5143,49.0
55143267.0476,49.0
55143286.1713,49.0
55143306.4528,48.0
55143326.584,48.0
55143347.6972,48.0
55143366.685,49.0
55143386.2795,49.0
55143406.3972,49.0
55143426.1027,49.0
55143447.813,50.0
55143466.7866,50.0
55143486.4432,49.0
55143506.5717,49.0
55143526.5407,50.0
55143547.6701,50.0
55143566.4112,50.0
55143586.4016,49.0
55143606.5829,49.0
55143626.0285,49.0
55143647.3853,48.0
55143666.9404,48.0
55143686.6998,47.0
55143706.5052,47.0
55143726.0055,47.0
55143749.1742,48.0
55143766.5971,48.0
55143787.3664,48.0
55143816.6581,48.0
55143836.1261,48.0
55143856.685,48.0
55143876.072,48.0
55143897.7866,47.0
55143916.6383,47.0
55143940.8677,47.0
55143956.6907,47.0
55143976.377,47.0
55143997.8784,48.0
55144016.6469,48.0
55144036.0839,48.0
55144059.3275,48.0
55144076.8937,49.0
55144097.5039,49.0
55144116.6315,49.0
55144136.056,49.0
55144156.5792,50.0
55144176.6063,50.0
55144197.7403,50.0
55144216.5392,50.0
55144236.71,49.0
55144257.2332,49.0
55144276.6238,49.0
55144298.8494,48.0
55144316.2992,48.0
55144337.0231,48.0
55144356.5499,48.0
55144377.0181,49.0
55144398.3488,49.0
55144417.1369,50.0
55144436.643,50.0
55144457.0225,50.0
55144476.9329,49.0
55144498.1214,49.0
55144516.7926,50.0
55144536.772,50.0
55144556.0232,50.0
55144576.7011,49.0
55144598.6235,49.0
55144616.9657,48.0
55144636.7652,48.0
55144656.2357,48.0
55144676.7371,49.0
55144700.2313,49.0
55144717.0824,48.0
55144736.6741,48.0
55144756.8048,47.0
55144776.0344,47.0
55144798.1634,47.0
55144818.9336,46.0
55144836.2709,46.0
55144856.535,46.0
55144880.4632,46.0
55144898.3049,46.0
55144918.1236,45.0
55144936.4037,45.0
55144956.5551,45.0
55144975.9061,45.0
55144997.1631,45.0
55145016.5984,45.0
55145036.1699,45.0
55145056.9743,45.0
55145087.3921,44.0
55145106.5588,44.0
55145126.4878,44.0
55145146.985,44.0
55145166.3922,44.0
55145187.6173,44.0
55145206.7264,44.0
55145226.5909,44.0
55145246.9493,44.0
55145266.5214,44.0
55145288.5411,44.0
55145306.7842,44.0
55145327.8078,44.0
55145347.0273,44.0
55145366.2121,44.0
55145390.8898,44.0
55145407.4022,43.0
55145426.6814,43.0
55145446.7883,43.0
55145466.3959,43.0
55145486.7526,43.0
55145506.8946,43.0
55145526.5755,43.0
55145547.5627,42.0
55145566.2721,42.0
55145586.685,42.0
55145607.4868,41.0
55145627.0406,41.0
55145647.0308,41.0
55145666.126,41.0
55145686.2705,41.0
55145706.7298,40.0
55145726.2068,40.0
55145746.7281,40.0
55145766.8627,40.0
55145786.8222,39.0
55145807.1286,39.0
55145827.2056,39.0
55145846.9912,38.0
55145866.3307,38.0
55145887.0163,38.0
55145906.684,38.0
55145928.2616,37.0
55145946.5096,37.0
55145966.6173,37.0
55145986.485,38.0
55146006.8016,38.0
55146026.979,39.0
55146046.9129,39.0
55146066.6207,38.0
55146107.4914,39.0
55146127.7615,39.0
55146146.5624,39.0
55146166.6753,40.0
55146186.6289,40.0
55146206.9959,40.0
55146227.3747,40.0
55146246.779,41.0
55146266.5566,41.0
55146287.0447,42.0
55146307.208,42.0
55146326.7897,42.0
55146346.815,43.0
55146366.4245,43.0
55146387.0836,43.0
55146406.149,43.0
55146428.1183,44.0
55146446.9909,44.0
55146466.1746,44.0
55146486.9867,45.0
55146506.8369,45.0
55146527.2216,46.0
55146546.1846,46.0
55146566.6206,46.0
55146586.2361,46.0
55146607.2143,47.0
55146628.2543,47.0
55146646.9139,48.0
55146666.7894,48.0
55146686.8698,49.0
55146706.0337,49.0
55146727.1509,49.0
55146746.6359,50.0
55146766.3279,50.0
55146786.6539,50.0
55146807.2644,51.0
55146827.7488,51.0
55146846.8824,52.0
55146866.6917,52.0
55146886.9444,51.0
55146906.656,51.0
55146927.3621,50.0
55146947.1183,50.0
55146966.5543,51.0
55146987.8847,51.0
55147016.5154,51.0
55147036.1943,51.0
55147056.9354,52.0
55147077.712,52.0
55147096.6898,53.0
55147116.338,53.0
55147137.0816,53.0
55147162.6901,54.0
55147187.3337,54.0
55147206.8299,53.0
55147227.419,53.0
55147246.6202,54.0
55147266.4949,54.0
55147287.0215,55.0
55147307.1147,55.0
55147327.1103,55.0
55147347.0657,56.0
55147366.8188,56.0
55147386.4549,56.0
55147407.0055,55.0
55147427.3879,55.0
55147447.3341,56.0
55147466.8843,56.0
55147487.654,57.0
55147506.9656,57.0
55147526.956,57.0
55147546.9248,56.0
55147567.1216,56.0
55147586.3937,56.0
55147606.7615,55.0
55147626.9509,55.0
55147647.0439,54.0
55147666.7117,54.0
55147687.157,55.0
55147706.675,55.0
55147727.0462,55.0
55147746.9961,56.0
55147766.3298,56.0
55147786.2666,56.0
55147808.575,56.0
55147827.1771,57.0
55147848.1632,57.0
55147866.6171,57.0
55147886.3147,57.0
55147906.5381,57.0
55147926.7927,57.0
55147946.9145,58.0
55147966.6066,58.0
55147986.6308,58.0
55148007.0614,58.0
55148027.0353,58.0
55148046.6252,59.0
55148066.3887,59.0
55148086.1637,59.0
55148106.4993,59.0
55148127.0298,59.0
55148146.4487,59.0
55148166.3334,59.0
55148187.0522,60.0
55148206.5244,60.0
55148227.1913,60.0
55148246.4427,60.0
55148266.3668,60.0
55148286.4915,60.0
55148306.6481,60.0
